x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3
-8.809997281,25.82161271,2.226458349,,-6.506894997,23.21031777,2.132792346,,-7.368687219,24.92138268,2.173516695
-8.930434458,25.97558055,2.234603219,,-6.598628029,23.35468019,2.136864781,,-7.466221633,25.06189067,2.17758913
-9.050871636,26.12954839,2.234603219,,-6.664571012,23.45752851,2.140937216,,-7.577689535,25.22247123,2.17758913
-9.172558852,26.28253019,2.242748089,,-6.770079784,23.62208582,2.140937216,,-7.675795349,25.36258085,2.181661565
-9.294246069,26.43551198,2.242748089,,-6.87692534,23.78577832,2.149082086,,-7.774470935,25.50228978,2.185734
-9.401266631,26.56893633,2.246820524,,-6.970997723,23.92862735,2.153154521,,-7.888539748,25.66103333,2.19387887
-9.524813745,26.72042006,2.254965394,,-7.038607256,24.03038787,2.157226955,,-7.988914794,25.79952632,2.197951305
-9.664497115,26.89027181,2.259037828,,-7.146782507,24.19320471,2.157226955,,-8.103629133,25.95780402,2.197951305
-9.77367683,27.02193519,2.263110263,,-7.256280278,24.35513509,2.165371825,,-8.218343471,26.11608171,2.197951305
-9.883391829,27.15315286,2.267182698,,-7.35266705,24.49643282,2.16944426,,-8.349562859,26.29255419,2.210168609
-9.993640292,27.28392263,2.271255133,,-7.449628448,24.63733684,2.173516695,,-8.452180502,26.42939379,2.214241044
-10.13607185,27.45147655,2.275327568,,-7.547162862,24.77784483,2.17758913,,-8.570727666,26.58482152,2.222385914
-10.24738174,27.58134403,2.279400003,,-7.645268676,24.91795445,2.181661565,,-8.675009421,26.72039723,2.226458349
-10.37579768,27.72872298,2.287544873,,-7.743944262,25.05766339,2.185734,,-8.794188569,26.87534089,2.226458349
-10.48868587,27.8572209,2.291617308,,-7.843187984,25.19696931,2.189806435,,-8.899021581,27.0104908,2.230530784
-10.61770093,28.00407567,2.291617308,,-7.971515399,25.37555581,2.19387887,,-9.004404111,27.14521266,2.234603219
-10.76351449,28.16869483,2.295689743,,-8.071890445,25.51404879,2.197951305,,-9.110334412,27.27950424,2.238675654
-10.92701394,28.35027937,2.303834613,,-8.187890115,25.67138692,2.206096175,,-9.232643626,27.4319892,2.246820524
-11.04198025,28.4769214,2.307907048,,-8.289949639,25.80864328,2.210168609,,-9.340206661,27.56497661,2.250892959
-11.15746134,28.6030942,2.311979482,,-8.406589095,25.96550771,2.210168609,,-9.463135845,27.71696222,2.250892959
-11.30659644,28.76471036,2.316051917,,-8.479887412,26.06325028,2.214241044,,-9.571239569,27.84951048,2.254965394
-11.44032665,28.90728469,2.324196787,,-8.598434575,26.21867801,2.222385914,,-9.67988219,27.9816174,2.259037828
-11.55784765,29.03155967,2.328269222,,-8.70271633,26.35425371,2.226458349,,-9.80527076,28.13158045,2.267182698
-11.67587378,29.15535502,2.332341657,,-8.792100691,26.47046146,2.226458349,,-9.915519223,28.26235022,2.271255133
-11.79440308,29.2786687,2.336414092,,-8.912537869,26.6244293,2.234603219,,-10.02629932,28.39266993,2.275327568
-11.91343359,29.40149865,2.340486527,,-9.002865751,26.73990518,2.234603219,,-10.15290515,28.54160674,2.275327568
-12.05060727,29.5407631,2.348631397,,-9.108796052,26.87419676,2.238675654,,-10.26421505,28.67147422,2.279400003
-12.20556443,29.69680586,2.352703832,,-9.215272367,27.00805584,2.242748089,,-10.39263099,28.81885318,2.287544873
-12.32657992,29.81768062,2.356776267,,-9.322292929,27.14148018,2.246820524,,-10.50551917,28.9473511,2.291617308
-12.46488334,29.95582321,2.356776267,,-9.445840043,27.29296391,2.254965394,,-10.61892971,29.07538822,2.295689743
-12.58639007,30.07620414,2.360848702,,-9.538500378,27.40657671,2.254965394,,-10.74854176,29.22171637,2.295689743
-12.72637086,30.21264676,2.368993571,,-9.647142999,27.53868362,2.259037828,,-10.86247278,29.34929058,2.299762178
-12.84933922,30.33153427,2.373066006,,-9.741184427,27.65115591,2.267182698,,-10.99386285,29.49402433,2.307907048
-12.97279073,30.44992,2.377138441,,-9.866572997,27.80111896,2.267182698,,-11.10934395,29.62019712,2.311979482
-13.09672333,30.56780201,2.381210876,,-9.961527367,27.91282157,2.275327568,,-11.24132234,29.7643946,2.311979482
-13.23836058,30.70252431,2.381210876,,-10.08813319,28.06175838,2.275327568,,-11.40775793,29.9432918,2.320124352
-13.38109042,30.83608853,2.389355746,,-10.18399421,28.1726839,2.283472438,,-11.54206766,30.08532034,2.328269222
-13.50645394,30.95244766,2.393428181,,-10.31180889,28.32058459,2.283472438,,-11.66009379,30.2091157,2.332341657
-13.63229027,31.06829529,2.397500616,,-10.42417284,28.44954118,2.287544873,,-11.8124886,30.36766185,2.336414092
-13.84962008,31.26512765,2.405645486,,-10.50480726,28.5413254,2.291617308,,-11.9315191,30.4904918,2.340486527
-13.99450661,31.39634922,2.405645486,,-10.63501414,28.6871245,2.299762178,,-12.05104883,30.61283599,2.344558962
-14.12174887,31.51065086,2.409717921,,-10.76522103,28.8329236,2.299762178,,-12.17107581,30.73469239,2.348631397
-14.26822772,31.64009256,2.41786279,,-10.87967064,28.96003277,2.303834613,,-12.29159804,30.85605897,2.352703832
-14.415756,31.76833693,2.42600766,,-10.97777031,29.06898349,2.303834613,,-12.43046289,30.99363718,2.360848702
-14.54438518,31.88107552,2.421935225,,-11.09376428,29.19468495,2.316051917,,-12.56932773,31.13121539,2.360848702
-14.67347242,31.99328934,2.42600766,,-11.20924537,29.32085774,2.311979482,,-12.6913237,31.2511005,2.364921136
-14.82204032,32.12032787,2.43415253,,-11.32523934,29.4465592,2.316051917,,-12.81380689,31.3704878,2.368993571
-14.95248884,32.23095626,2.438224965,,-11.425537,29.55348995,2.324196787,,-12.93677525,31.4893753,2.373066006
-15.14012489,32.38747376,2.446369835,,-11.543058,29.67776493,2.328269222,,-13.07841251,31.6240976,2.381210876
-15.27191522,32.4965002,2.45044227,,-11.66108413,29.80156028,2.332341657,,-13.20282415,31.74147392,2.385283311
-15.40414846,32.60498904,2.454514705,,-11.77961343,29.92487396,2.336414092,,-13.32771276,31.85834262,2.389355746
-15.53682242,32.71293846,2.45858714,,-11.89864393,30.04770391,2.340486527,,-13.4704426,31.99190684,2.389355746
-15.66993489,32.82034669,2.462659575,,-12.03581762,30.18696836,2.348631397,,-13.59580611,32.10826597,2.393428181
-15.82206343,32.94309894,2.462659575,,-12.13869789,30.2914167,2.348631397,,-13.74015706,32.24007649,2.401573051
-15.95561221,33.04996419,2.466732009,,-12.25922012,30.41278329,2.352703832,,-13.86693277,32.35489537,2.405645486
-16.16615673,33.21703924,2.470804444,,-12.38023561,30.53365805,2.356776267,,-13.99417503,32.46919701,2.409717921
-16.3400776,33.35162227,2.483021749,,-12.51965958,30.67066961,2.364921136,,-14.13959475,32.59982745,2.409717921
-16.47577455,33.4557462,2.487094184,,-12.65908355,30.80768116,2.364921136,,-14.28607361,32.72926916,2.41786279
-16.63085679,33.57474499,2.487094184,,-12.79961882,30.94355259,2.373066006,,-14.41470279,32.84200775,2.421935225
-16.76697665,33.67831544,2.491166619,,-12.92307033,31.06193833,2.377138441,,-14.54379003,32.95422157,2.42600766
-16.92350112,33.7954107,2.499311489,,-13.06415776,31.19723632,2.377138441,,-14.67333318,33.06590876,2.430080095
,,,,-13.18809036,31.31511832,2.381210876,,-14.80333009,33.17706748,2.43415253
,,,,-13.3308202,31.44868255,2.389355746,,-14.95292777,33.30289174,2.4422974
,,,,-13.42036557,31.53179621,2.393428181,,-15.10252544,33.42871601,2.4422974
,,,,-13.56363816,31.66477807,2.393428181,,-15.23387068,33.53827825,2.446369835
,,,,-13.7079891,31.79658859,2.401573051,,-15.36566101,33.6473047,2.45044227
,,,,-13.81625231,31.89544649,2.401573051,,-15.49789425,33.75579353,2.454514705
,,,,-13.9253171,31.99341932,2.409717921,,-15.65002279,33.87854579,2.462659575
,,,,-14.05209282,32.1082382,2.405645486,,-15.78357157,33.98541103,2.466732009
,,,,-14.19804332,32.23827535,2.413790356,,-15.91755444,34.09173152,2.470804444
,,,,-14.32621232,32.35153684,2.41786279,,-16.0903734,34.22772663,2.474876879
,,,,-14.43685852,32.44772011,2.42600766,,-16.20558604,34.31839004,2.474876879
,,,,-14.58438679,32.57596448,2.42600766,,-16.36018237,34.43801939,2.483021749
,,,,-14.71392994,32.68765168,2.430080095,,-16.49587932,34.54214333,2.487094184
,,,,-14.86301396,32.81408412,2.438224965,,-16.70978197,34.7048969,2.491166619
,,,,-14.99391193,32.92418036,2.4422974,,-16.84632249,34.80791216,2.495239054
,,,,-15.10611018,33.01854855,2.4422974,,-16.9832814,34.91037051,2.499311489
,,,,-15.2567277,33.1431502,2.45044227,,-17.12065642,35.01227026,2.503383924
,,,,-15.36969084,33.23660144,2.45044227,,-17.27859976,35.12744453,2.511528794
,,,,-15.52131822,33.35997221,2.45858714,,,,
,,,,-15.63503876,33.45250029,2.45858714,,,,
,,,,-15.76815123,33.55990852,2.462659575,,,,
,,,,-15.90170001,33.66677376,2.466732009,,,,
,,,,-16.0365444,33.77199946,2.478949314,,,,
,,,,-16.17095914,33.87777344,2.474876879,,,,
,,,,-16.28690639,33.96749545,2.483021749,,,,
,,,,-16.40285364,34.05721747,2.483021749,,,,
,,,,-16.5584192,34.1755837,2.491166619,,,,
,,,,-16.69495972,34.27859896,2.495239054,,,,
,,,,-16.81199445,34.36689776,2.495239054,,,,
,,,,-16.94895336,34.46935611,2.499311489,,,,
,,,,-17.10642635,34.58517263,2.507456359,,,,
