x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,,
5.45815563,21.15531926,1.057669527,,4.748131211,20.17955225,1.098393876,,5.256308458,20.07014518,1.065814397,,,
5.542727075,21.30399047,1.053597092,,4.82657967,20.33154336,1.094321441,,5.35226879,20.24044733,1.057669527,,,
5.62790327,21.45231603,1.049524657,,4.905646451,20.48321373,1.090249006,,5.436840234,20.38911854,1.053597092,,,
5.738191241,21.64257277,1.045452222,,4.985330243,20.63456084,1.086176571,,5.533493313,20.55902849,1.053597092,,,
5.82457269,21.79019967,1.041379787,,5.065629723,20.7855822,1.082104136,,5.631527066,20.72814559,1.045452222,,,
5.936406602,21.97955182,1.037307352,,5.158803269,20.95742486,1.073959266,,5.717908514,20.87577249,1.041379787,,,
6.023987574,22.12647027,1.033234917,,5.240941784,21.10745393,1.069886831,,5.81663017,21.04448895,1.041379787,,,
6.112166135,22.27303083,1.029162482,,5.323690601,21.25714725,1.065814397,,5.903612102,21.19176285,1.037307352,,,
6.20094082,22.41923108,1.025090047,,5.394618158,21.38545581,1.065814397,,5.991193074,21.33868129,1.033234917,,,
6.303755117,22.58548519,1.016945177,,5.49057849,21.55575797,1.057669527,,6.10609651,21.52618666,1.021017612,,,
6.406569414,22.7517393,1.016945177,,5.575149934,21.70442917,1.053597092,,6.220235392,21.71415841,1.025090047,,,
6.510734404,22.9171505,1.008800308,,5.660326129,21.85275474,1.049524657,,6.323049689,21.88041252,1.016945177,,,
6.602467436,23.06151292,1.004727873,,5.746105662,22.0007322,1.045452222,,6.427214678,22.04582371,1.008800308,,,
6.694787612,23.20550056,1.000655438,,5.844139415,22.16984929,1.045452222,,6.51894771,22.19018613,1.004727873,,,
6.814237912,23.39014261,0.996583003,,5.930520863,22.3174762,1.041379787,,6.623785461,22.35517175,1.004727873,,,
6.907727774,23.53337355,0.992510568,,6.030613403,22.48538299,1.033234917,,6.716105637,22.4991594,1.000655438,,,
7.015903025,23.6961904,0.984365698,,6.118791963,22.63194356,1.029162482,,6.809011426,22.64276988,0.996583003,,,
7.124078276,23.85900724,0.984365698,,6.207566649,22.7781438,1.025090047,,6.916522721,22.80602591,0.988438133,,,
7.219311013,24.00108533,0.980293263,,6.296935988,22.92398131,1.021017612,,7.024034016,22.96928194,0.988438133,,,
7.329467325,24.16256844,0.972148393,,6.399072375,23.09065274,1.021017612,,7.118687361,23.11174668,0.984365698,,,
7.439623637,24.32405155,0.972148393,,6.502562877,23.25648677,1.012872743,,7.213920098,23.25382476,0.980293263,,,
7.578958515,24.52477725,0.964003524,,6.593707243,23.40122157,1.008800308,,7.32407641,23.41530788,0.972148393,,,
7.691730613,24.6844446,0.955858654,,6.711649712,23.58683039,1.004727873,,7.421037807,23.5562119,0.968075958,,,
7.790974335,24.82375053,0.951786219,,6.803969888,23.73081804,1.000655438,,7.531850833,23.71724507,0.968075958,,,
7.890784546,24.96265114,0.947713784,,6.923420188,23.91546009,0.996583003,,7.643971763,23.87737036,0.959931089,,,
8.019838177,25.14071355,0.943641349,,7.01691005,24.05869103,0.992510568,,7.742647349,24.01707929,0.955858654,,,
8.120776392,25.27879661,0.939568914,,7.125085301,24.22150788,0.984365698,,7.841891071,24.15638521,0.951786219,,,
8.236134353,25.43660583,0.939568914,,7.220318038,24.36358596,0.980293263,,7.956605409,24.31466291,0.943641349,,,
8.352773809,25.59347026,0.931424044,,7.301946098,24.48536718,0.980293263,,8.071319748,24.47294061,0.943641349,,,
8.470687022,25.74937947,0.923279174,,7.41210241,24.6468503,0.972148393,,8.172257963,24.61102368,0.939568914,,,
8.604052581,25.92423567,0.919206739,,7.523570312,24.80743085,0.964003524,,8.273757675,24.74869454,0.935496479,,,
8.708334336,26.05981137,0.915134304,,7.635038215,24.96801141,0.964003524,,8.375817199,24.88595091,0.931424044,,,
8.827513484,26.21475504,0.915134304,,7.733144028,25.10812104,0.959931089,,8.493730412,25.04186012,0.923279174,,,
8.932346496,26.34990494,0.91106187,,7.831819614,25.24782997,0.955858654,,8.59745918,25.17785938,0.919206739,,,
9.06783832,26.52311876,0.906989435,,7.931063336,25.38713589,0.951786219,,8.701740935,25.31343509,0.915134304,,,
9.173768621,26.65741034,0.902917,,8.045777674,25.54541359,0.943641349,,8.820920083,25.46837876,0.915134304,,,
9.296077835,26.80989531,0.89477213,,8.14671589,25.68349666,0.939568914,,8.925753095,25.60352866,0.91106187,,,
9.403640871,26.94288272,0.890699695,,8.248215602,25.82116752,0.935496479,,9.046816296,25.75700475,0.902917,,,
9.542631374,27.11330191,0.88662726,,8.335215354,25.93917111,0.935496479,,9.15329261,25.89086383,0.898844565,,,
9.651273995,27.24540883,0.882554825,,8.481811988,26.13465626,0.927351609,,9.260313173,26.02428817,0.89477213,,,
9.76045371,27.37707221,0.87848239,,8.58498605,26.27107682,0.923279174,,9.382622387,26.17677314,0.89477213,,,
9.870168709,27.50828988,0.874409955,,8.673420959,26.38800873,0.923279174,,9.490185422,26.30976055,0.890699695,,,
10.01191673,27.67642245,0.87033752,,8.777149728,26.52400799,0.919206739,,9.614348417,26.46073988,0.882554825,,,
10.13912804,27.82484243,0.86219265,,8.896958884,26.67846503,0.91106187,,9.723528133,26.59240327,0.87848239,,,
10.25096589,27.95425554,0.858120216,,9.002341414,26.81318689,0.906989435,,9.833243132,26.72362093,0.874409955,,,
10.37878058,28.10215623,0.858120216,,9.108271715,26.94747847,0.902917,,9.943491595,26.85439071,0.87033752,,,
10.49114453,28.23111281,0.854047781,,9.214748029,27.08133754,0.898844565,,10.05427169,26.98471042,0.866265085,,,
10.63762727,28.3951368,0.841830476,,9.321768592,27.21476189,0.89477213,,10.18087752,27.13364723,0.866265085,,,
10.76783416,28.54093589,0.841830476,,9.429331627,27.34774929,0.890699695,,10.30869221,27.28154792,0.858120216,,,
